tx_id,sender_id,receiver_id,amount,transfer_timestamp,withdrawal_timestamp,withdrawal_atm_id
TXN-0000024,ACC_VIC_0702,ACC_MULE_0088,218252.22,2026-07-05T22:12:51,2026-07-05T22:42:46,ATM_ICICI_019
TXN-0000025,ACC_MULE_0596,ACC_MULE_0388,89111.3,2026-07-05T22:21:30,2026-07-05T22:55:21,ATM_PNB_160
TXN-0000026,ACC_VIC_0567,ACC_MULE_0594,243855.13,2026-07-05T22:30:08,2026-07-05T23:03:09,ATM_KOTAK_177
TXN-0000027,ACC_NORM_2626,ACC_NORM_2296,12658.52,2026-07-05T22:38:47,,
TXN-0000028,ACC_VIC_0165,ACC_MULE_0501,236097.16,2026-07-05T22:47:25,2026-07-05T22:58:07,ATM_PNB_160
TXN-0000029,ACC_NORM_1805,ACC_NORM_1889,17958.46,2026-07-05T22:56:03,,
TXN-0000030,ACC_NORM_1258,ACC_NORM_1282,1113.91,2026-07-05T23:04:42,,
TXN-0000031,ACC_NORM_2582,ACC_NORM_0420,19732.14,2026-07-05T23:13:20,,
TXN-0000032,ACC_VIC_0613,ACC_MULE_0199,81384.6,2026-07-05T23:21:59,2026-07-05T23:36:29,ATM_BOB_152
TXN-0000033,ACC_NORM_0242,ACC_NORM_1764,6071.9,2026-07-05T23:30:37,,
TXN-0000034,ACC_NORM_1345,ACC_NORM_2260,11810.87,2026-07-05T23:39:15,,
TXN-0000035,ACC_NORM_0303,ACC_NORM_0303,2157.04,2026-07-05T23:47:54,,
TXN-0000036,ACC_NORM_0558,ACC_NORM_1479,7189.04,2026-07-05T23:56:32,,
TXN-0000037,ACC_NORM_0001,ACC_NORM_2782,22864.13,2026-07-06T00:05:11,,
TXN-0000038,ACC_VIC_0236,ACC_MULE_0408,241693.18,2026-07-06T00:13:49,2026-07-06T00:39:06,ATM_UBI_150
TXN-0000039,ACC_MULE_0058,ACC_MULE_0092,201893.5,2026-07-06T00:22:27,2026-07-06T01:35:59,ATM_HDFC_086
TXN-0000040,ACC_NORM_0050,ACC_NORM_2035,24203.08,2026-07-06T00:31:06,,
TXN-0000041,ACC_NORM_0777,ACC_NORM_0301,10913.9,2026-07-06T00:39:44,,
TXN-0000042,ACC_VIC_1072,ACC_MULE_0162,133578.38,2026-07-06T00:48:23,,
TXN-0000043,ACC_NORM_0916,ACC_NORM_2054,5058.25,2026-07-06T00:57:01,,
TXN-0000044,ACC_MULE_0536,ACC_MULE_0560,201272.94,2026-07-06T01:05:39,2026-07-06T01:50:23,ATM_PNB_160
TXN-0000045,ACC_NORM_1503,ACC_NORM_1335,1105.51,2026-07-06T01:14:18,,
TXN-0000046,ACC_NORM_2423,ACC_NORM_1355,22882.43,2026-07-06T01:22:56,,
TXN-0000047,ACC_MULE_0028,ACC_MULE_0064,130435.99,2026-07-06T01:31:35,2026-07-06T02:05:29,ATM_SBI_110
TXN-0000048,ACC_NORM_2300,ACC_NORM_2094,23932.76,2026-07-06T01:40:13,,
TXN-0000049,ACC_MULE_0372,ACC_MULE_0381,56460.6,2026-07-06T01:48:51,2026-07-06T02:05:52,ATM_BOB_034
TXN-0000050,ACC_NORM_1087,ACC_NORM_1583,12365.32,2026-07-06T01:57:30,,
TXN-0000051,ACC_VIC_0335,ACC_MULE_0484,103745.17,2026-07-06T02:06:08,2026-07-06T02:34:16,ATM_BOB_034
TXN-0000052,ACC_NORM_0595,ACC_NORM_2886,17630.48,2026-07-06T02:14:47,,
TXN-0000053,ACC_VIC_0114,ACC_MULE_0243,207479.1,2026-07-06T02:23:25,2026-07-06T02:52:45,ATM_HDFC_086
TXN-0000054,ACC_NORM_1654,ACC_NORM_0372,5390.16,2026-07-06T02:32:03,,
TXN-0000055,ACC_MULE_0222,ACC_MULE_0544,248751.34,2026-07-06T02:40:42,,
TXN-0000056,ACC_NORM_0993,ACC_NORM_0412,7752.99,2026-07-06T02:49:20,,
TXN-0000057,ACC_VIC_0596,ACC_MULE_0045,100918.29,2026-07-06T02:57:59,2026-07-06T03:39:40,ATM_HDFC_130
TXN-0000058,ACC_VIC_0661,ACC_MULE_0052,236987.88,2026-07-06T03:06:37,2026-07-06T04:08:52,ATM_UBI_030
TXN-0000059,ACC_NORM_2120,ACC_NORM_2698,1015.13,2026-07-06T03:15:15,,
TXN-0000060,ACC_VIC_1423,ACC_MULE_0549,126723.8,2026-07-06T03:23:54,2026-07-06T04:07:04,ATM_ICICI_087
TXN-0000061,ACC_NORM_2933,ACC_NORM_2425,3629.02,2026-07-06T03:32:32,,
TXN-0000062,ACC_NORM_1590,ACC_NORM_0732,2367.99,2026-07-06T03:41:11,,
TXN-0000063,ACC_VIC_1163,ACC_MULE_0278,192446.05,2026-07-06T03:49:49,2026-07-06T04:09:50,ATM_ICICI_087
TXN-0000064,ACC_VIC_0313,ACC_MULE_0517,127479.61,2026-07-06T03:58:27,,
TXN-0000065,ACC_VIC_0036,ACC_MULE_0311,68650.83,2026-07-06T04:07:06,2026-07-06T04:40:42,ATM_HDFC_007
TXN-0000066,ACC_NORM_0961,ACC_NORM_0628,6173.25,2026-07-06T04:15:44,,
TXN-0000067,ACC_VIC_0114,ACC_MULE_0047,166857.94,2026-07-06T04:24:23,2026-07-06T04:48:47,ATM_PNB_065
TXN-0000068,ACC_MULE_0352,ACC_MULE_0316,243023.38,2026-07-06T04:33:01,2026-07-06T05:28:06,ATM_ICICI_142
TXN-0000069,ACC_NORM_1621,ACC_NORM_0411,11210.13,2026-07-06T04:41:39,,
TXN-0000070,ACC_NORM_1832,ACC_NORM_2593,2263.77,2026-07-06T04:50:18,,
TXN-0000071,ACC_MULE_0188,ACC_MULE_0413,103331.2,2026-07-06T04:58:56,2026-07-06T05:22:03,ATM_ICICI_112
TXN-0000072,ACC_NORM_1285,ACC_NORM_1796,1175.23,2026-07-06T05:07:35,,
TXN-0000073,ACC_VIC_0978,ACC_MULE_0403,72078.8,2026-07-06T05:16:13,2026-07-06T05:51:08,ATM_BOB_094
TXN-0000074,ACC_VIC_1373,ACC_MULE_0322,184458.33,2026-07-06T05:24:51,2026-07-06T05:54:31,ATM_AXIS_101
TXN-0000075,ACC_NORM_2224,ACC_NORM_0768,12244.61,2026-07-06T05:33:30,,
TXN-0000076,ACC_NORM_1131,ACC_NORM_1219,14608.28,2026-07-06T05:42:08,,
TXN-0000077,ACC_NORM_2184,ACC_NORM_1262,21228.78,2026-07-06T05:50:47,,
TXN-0000078,ACC_NORM_2418,ACC_NORM_2264,13416.85,2026-07-06T05:59:25,,
TXN-0000079,ACC_NORM_0596,ACC_NORM_1393,17200.89,2026-07-06T06:08:03,,
TXN-0000080,ACC_NORM_2526,ACC_NORM_1598,8914.24,2026-07-06T06:16:42,,
TXN-0000081,ACC_NORM_2300,ACC_NORM_1007,6070.98,2026-07-06T06:25:20,,
TXN-0000082,ACC_VIC_0449,ACC_MULE_0340,71508.12,2026-07-06T06:33:59,2026-07-06T07:09:12,ATM_PNB_160
TXN-0000083,ACC_NORM_0943,ACC_NORM_0789,12889.99,2026-07-06T06:42:37,,
TXN-0000084,ACC_NORM_2670,ACC_NORM_1686,17196.54,2026-07-06T06:51:15,,
TXN-0000085,ACC_NORM_0391,ACC_NORM_0144,20303.99,2026-07-06T06:59:54,,
TXN-0000086,ACC_VIC_1493,ACC_MULE_0012,121638.18,2026-07-06T07:08:32,,
TXN-0000087,ACC_NORM_2550,ACC_NORM_0207,5404.01,2026-07-06T07:17:11,,
TXN-0000088,ACC_NORM_1332,ACC_NORM_2052,3742.75,2026-07-06T07:25:49,,
TXN-0000089,ACC_NORM_2204,ACC_NORM_1112,8160.79,2026-07-06T07:34:27,,
TXN-0000090,ACC_NORM_1877,ACC_NORM_1051,23471.99,2026-07-06T07:43:06,,
TXN-0000091,ACC_NORM_0469,ACC_NORM_0166,1289.14,2026-07-06T07:51:44,,
TXN-0000092,ACC_MULE_0288,ACC_MULE_0284,66962.11,2026-07-06T08:00:23,2026-07-06T08:14:04,ATM_SBI_110
TXN-0000093,ACC_MULE_0275,ACC_MULE_0078,83580.72,2026-07-06T08:09:01,2026-07-06T08:38:08,ATM_PNB_160
TXN-0000094,ACC_NORM_1130,ACC_NORM_2042,8035.03,2026-07-06T08:17:39,,
TXN-0000095,ACC_NORM_1084,ACC_NORM_2821,9797.06,2026-07-06T08:26:18,,
TXN-0000096,ACC_NORM_2152,ACC_NORM_1056,21573.38,2026-07-06T08:34:56,,
TXN-0000097,ACC_VIC_0681,ACC_MULE_0508,220275.49,2026-07-06T08:43:35,,
TXN-0000098,ACC_NORM_1772,ACC_NORM_1150,11248.61,2026-07-06T08:52:13,,
TXN-0000099,ACC_NORM_2322,ACC_NORM_0539,13095.52,2026-07-06T09:00:51,,
TXN-0000100,ACC_NORM_0217,ACC_NORM_2621,14821.17,2026-07-06T09:09:30,,
TXN-0000101,ACC_MULE_0274,ACC_MULE_0561,173274.95,2026-07-06T09:18:08,2026-07-06T09:32:58,ATM_ICICI_166
TXN-0000102,ACC_VIC_0661,ACC_MULE_0548,171584.58,2026-07-06T09:26:47,2026-07-06T09:53:58,ATM_KOTAK_138
TXN-0000103,ACC_VIC_1199,ACC_MULE_0420,96287.29,2026-07-06T09:35:25,2026-07-06T10:20:24,ATM_UBI_150
TXN-0000104,ACC_VIC_0984,ACC_MULE_0415,181728.59,2026-07-06T09:44:03,2026-07-06T10:22:19,ATM_SBI_110
TXN-0000105,ACC_VIC_0671,ACC_MULE_0054,175721.33,2026-07-06T09:52:42,2026-07-06T10:45:51,ATM_HDFC_130
TXN-0000106,ACC_MULE_0570,ACC_MULE_0383,132146.35,2026-07-06T10:01:20,2026-07-06T10:19:38,ATM_UBI_030
TXN-0000107,ACC_NORM_0453,ACC_NORM_2349,7568.84,2026-07-06T10:09:59,,
TXN-0000108,ACC_NORM_1871,ACC_NORM_1127,12339.28,2026-07-06T10:18:37,,
TXN-0000109,ACC_VIC_0454,ACC_MULE_0131,144728.09,2026-07-06T10:27:15,2026-07-06T10:56:28,ATM_ICICI_087
TXN-0000110,ACC_NORM_2987,ACC_NORM_1568,8970.84,2026-07-06T10:35:54,,
TXN-0000111,ACC_NORM_2035,ACC_NORM_2947,7007.67,2026-07-06T10:44:32,,
TXN-0000112,ACC_NORM_2087,ACC_NORM_1411,1674.63,2026-07-06T10:53:11,,
TXN-0000113,ACC_NORM_0446,ACC_NORM_2159,16577.45,2026-07-06T11:01:49,,
TXN-0000114,ACC_VIC_0435,ACC_MULE_0488,213471.35,2026-07-06T11:10:27,2026-07-06T11:22:31,ATM_KOTAK_023
TXN-0000115,ACC_VIC_0064,ACC_MULE_0002,75832.51,2026-07-06T11:19:06,2026-07-06T11:50:06,ATM_PNB_052
TXN-0000116,ACC_NORM_1659,ACC_NORM_2231,4001.18,2026-07-06T11:27:44,,
TXN-0000117,ACC_VIC_0477,ACC_MULE_0437,156429.17,2026-07-06T11:36:23,2026-07-06T12:10:46,ATM_SBI_041
TXN-0000118,ACC_NORM_2600,ACC_NORM_2293,10543.45,2026-07-06T11:45:01,,
TXN-0000119,ACC_VIC_0403,ACC_MULE_0077,195248.54,2026-07-06T11:53:39,2026-07-06T12:18:20,ATM_ICICI_087
TXN-0000120,ACC_NORM_0364,ACC_NORM_0535,24767.55,2026-07-06T12:02:18,,
TXN-0000121,ACC_VIC_0501,ACC_MULE_0420,197854.64,2026-07-06T12:10:56,2026-07-06T12:36:31,ATM_SBI_041
TXN-0000122,ACC_NORM_1492,ACC_NORM_1243,6325.56,2026-07-06T12:19:35,,
TXN-0000123,ACC_NORM_1950,ACC_NORM_1329,20328.12,2026-07-06T12:28:13,,
TXN-0000124,ACC_NORM_0269,ACC_NORM_1684,17967.53,2026-07-06T12:36:51,,
TXN-0000125,ACC_MULE_0027,ACC_MULE_0524,203419.92,2026-07-06T12:45:30,,
TXN-0000126,ACC_NORM_1497,ACC_NORM_2983,4544.21,2026-07-06T12:54:08,,
TXN-0000127,ACC_NORM_1868,ACC_NORM_1673,17857.04,2026-07-06T13:02:47,,
TXN-0000128,ACC_VIC_0646,ACC_MULE_0239,118427.56,2026-07-06T13:11:25,2026-07-06T13:39:21,ATM_ICICI_019
TXN-0000129,ACC_MULE_0147,ACC_MULE_0448,102538.48,2026-07-06T13:20:03,2026-07-06T14:19:32,ATM_HDFC_086
TXN-0000130,ACC_VIC_1455,ACC_MULE_0268,213487.42,2026-07-06T13:28:42,,
TXN-0000131,ACC_NORM_0999,ACC_NORM_1126,20372.38,2026-07-06T13:37:20,,
TXN-0000132,ACC_VIC_0553,ACC_MULE_0321,146565.65,2026-07-06T13:45:59,,
TXN-0000133,ACC_NORM_1936,ACC_NORM_0119,15493.26,2026-07-06T13:54:37,,
TXN-0000134,ACC_NORM_1309,ACC_NORM_2903,2868.62,2026-07-06T14:03:15,,
TXN-0000135,ACC_NORM_1179,ACC_NORM_2676,2344.59,2026-07-06T14:11:54,,
TXN-0000136,ACC_MULE_0279,ACC_MULE_0282,176181.77,2026-07-06T14:20:32,2026-07-06T14:38:42,ATM_UBI_150
TXN-0000137,ACC_NORM_2823,ACC_NORM_0477,6526.48,2026-07-06T14:29:11,,
TXN-0000138,ACC_NORM_1073,ACC_NORM_1063,23394.44,2026-07-06T14:37:49,,
TXN-0000139,ACC_MULE_0207,ACC_MULE_0454,160924.45,2026-07-06T14:46:27,2026-07-06T15:03:39,ATM_ICICI_112
TXN-0000140,ACC_NORM_1505,ACC_NORM_2052,626.6,2026-07-06T14:55:06,,
TXN-0000141,ACC_NORM_0243,ACC_NORM_1593,14820.04,2026-07-06T15:03:44,,
TXN-0000142,ACC_NORM_0925,ACC_NORM_2682,10990.68,2026-07-06T15:12:23,,
TXN-0000143,ACC_NORM_1061,ACC_NORM_2195,6762.36,2026-07-06T15:21:01,,
TXN-0000144,ACC_VIC_1479,ACC_MULE_0525,200969.22,2026-07-06T15:29:39,2026-07-06T15:56:44,ATM_AXIS_143
TXN-0000145,ACC_NORM_2406,ACC_NORM_0135,4718.37,2026-07-06T15:38:18,,
TXN-0000146,ACC_NORM_1538,ACC_NORM_1401,14250.19,2026-07-06T15:46:56,,
TXN-0000147,ACC_NORM_0475,ACC_NORM_2433,6078.54,2026-07-06T15:55:35,,
TXN-0000148,ACC_NORM_1771,ACC_NORM_1745,18492.79,2026-07-06T16:04:13,,
TXN-0000149,ACC_NORM_1556,ACC_NORM_0752,6344.3,2026-07-06T16:12:51,,
TXN-0000150,ACC_NORM_1397,ACC_NORM_2452,22790.34,2026-07-06T16:21:30,,
TXN-0000151,ACC_NORM_1097,ACC_NORM_0872,7848.46,2026-07-06T16:30:08,,
TXN-0000152,ACC_VIC_0648,ACC_MULE_0556,237444.06,2026-07-06T16:38:47,2026-07-06T17:21:16,ATM_SBI_072
TXN-0000153,ACC_VIC_0737,ACC_MULE_0227,235425.67,2026-07-06T16:47:25,2026-07-06T17:12:53,ATM_BOB_113
TXN-0000154,ACC_MULE_0167,ACC_MULE_0472,62449.67,2026-07-06T16:56:03,2026-07-06T17:29:02,ATM_AXIS_172
TXN-0000155,ACC_NORM_0521,ACC_NORM_1107,6318.8,2026-07-06T17:04:42,,
TXN-0000156,ACC_NORM_1393,ACC_NORM_0521,17804.6,2026-07-06T17:13:20,,
TXN-0000157,ACC_NORM_2974,ACC_NORM_2371,8162.15,2026-07-06T17:21:59,,
TXN-0000158,ACC_VIC_0582,ACC_MULE_0506,171345.1,2026-07-06T17:30:37,2026-07-06T17:55:06,ATM_ICICI_142
TXN-0000159,ACC_NORM_2501,ACC_NORM_0890,10014.31,2026-07-06T17:39:15,,
TXN-0000160,ACC_VIC_1336,ACC_MULE_0246,71392.32,2026-07-06T17:47:54,2026-07-06T18:36:14,ATM_UBI_075
TXN-0000161,ACC_NORM_2463,ACC_NORM_0848,22559.7,2026-07-06T17:56:32,,
TXN-0000162,ACC_NORM_0061,ACC_NORM_1232,17760.02,2026-07-06T18:05:11,,
TXN-0000163,ACC_VIC_0723,ACC_MULE_0232,63395.36,2026-07-06T18:13:49,2026-07-06T18:52:26,ATM_PNB_052
TXN-0000164,ACC_VIC_0185,ACC_MULE_0546,65760.33,2026-07-06T18:22:27,2026-07-06T18:41:45,ATM_BOB_163
TXN-0000165,ACC_NORM_2101,ACC_NORM_2774,10043.81,2026-07-06T18:31:06,,
TXN-0000166,ACC_NORM_1868,ACC_NORM_0140,22150.07,2026-07-06T18:39:44,,
TXN-0000167,ACC_NORM_2788,ACC_NORM_2941,1576.61,2026-07-06T18:48:23,,
TXN-0000168,ACC_NORM_0881,ACC_NORM_0114,16967.51,2026-07-06T18:57:01,,
TXN-0000169,ACC_NORM_0540,ACC_NORM_2235,22641.46,2026-07-06T19:05:39,,
TXN-0000170,ACC_NORM_2722,ACC_NORM_0656,16056.07,2026-07-06T19:14:18,,
TXN-0000171,ACC_MULE_0337,ACC_MULE_0113,145339.81,2026-07-06T19:22:56,2026-07-06T19:40:19,ATM_BOB_037
TXN-0000172,ACC_NORM_1315,ACC_NORM_1477,1037.42,2026-07-06T19:31:35,,
TXN-0000173,ACC_NORM_0260,ACC_NORM_2882,7904.47,2026-07-06T19:40:13,,
TXN-0000174,ACC_MULE_0087,ACC_MULE_0438,114079.92,2026-07-06T19:48:51,,
TXN-0000175,ACC_MULE_0327,ACC_MULE_0564,150460.49,2026-07-06T19:57:30,2026-07-06T20:25:00,ATM_PNB_062
TXN-0000176,ACC_VIC_1444,ACC_MULE_0071,58367.2,2026-07-06T20:06:08,2026-07-06T20:46:28,ATM_BOB_034
TXN-0000177,ACC_NORM_0023,ACC_NORM_2033,14336.02,2026-07-06T20:14:47,,
TXN-0000178,ACC_VIC_1256,ACC_MULE_0556,224811.24,2026-07-06T20:23:25,2026-07-06T20:46:33,ATM_AXIS_101
TXN-0000179,ACC_NORM_0937,ACC_NORM_0994,4410.38,2026-07-06T20:32:03,,
TXN-0000180,ACC_VIC_0769,ACC_MULE_0399,89461.16,2026-07-06T20:40:42,2026-07-06T20:58:08,ATM_KOTAK_178
TXN-0000181,ACC_NORM_2615,ACC_NORM_1487,23169.93,2026-07-06T20:49:20,,
TXN-0000182,ACC_NORM_2540,ACC_NORM_1585,24814.57,2026-07-06T20:57:59,,
TXN-0000183,ACC_NORM_2853,ACC_NORM_2481,10756.72,2026-07-06T21:06:37,,
TXN-0000184,ACC_NORM_1641,ACC_NORM_0442,1150.87,2026-07-06T21:15:15,,
TXN-0000185,ACC_VIC_0199,ACC_MULE_0131,197935.83,2026-07-06T21:23:54,,
TXN-0000186,ACC_NORM_1725,ACC_NORM_2590,7927.59,2026-07-06T21:32:32,,
TXN-0000187,ACC_NORM_0391,ACC_NORM_0125,2297.69,2026-07-06T21:41:11,,
TXN-0000188,ACC_MULE_0089,ACC_MULE_0060,166126.27,2026-07-06T21:49:49,2026-07-06T22:18:15,ATM_HDFC_170
TXN-0000189,ACC_VIC_0754,ACC_MULE_0067,68938.74,2026-07-06T21:58:27,2026-07-06T22:59:24,ATM_BOB_090
TXN-0000190,ACC_VIC_1359,ACC_MULE_0341,208996.74,2026-07-06T22:07:06,2026-07-06T22:46:59,ATM_HDFC_130
TXN-0000191,ACC_NORM_0304,ACC_NORM_1807,4330.48,2026-07-06T22:15:44,,
TXN-0000192,ACC_NORM_0644,ACC_NORM_2566,5046.21,2026-07-06T22:24:23,,
TXN-0000193,ACC_VIC_0342,ACC_MULE_0268,240427.01,2026-07-06T22:33:01,2026-07-06T23:06:06,ATM_ICICI_004
TXN-0000194,ACC_NORM_1196,ACC_NORM_2372,5673.49,2026-07-06T22:41:39,,
TXN-0000195,ACC_VIC_0255,ACC_MULE_0276,115303.41,2026-07-06T22:50:18,2026-07-06T23:11:43,ATM_PNB_062
TXN-0000196,ACC_NORM_2190,ACC_NORM_1452,18724.37,2026-07-06T22:58:56,,
TXN-0000197,ACC_NORM_1279,ACC_NORM_0622,15042.66,2026-07-06T23:07:35,,
TXN-0000198,ACC_NORM_0940,ACC_NORM_2970,4041.31,2026-07-06T23:16:13,,
TXN-0000199,ACC_VIC_0734,ACC_MULE_0568,52205.37,2026-07-06T23:24:51,,
TXN-0000200,ACC_NORM_2716,ACC_NORM_1415,15490.38,2026-07-06T23:33:30,,
TXN-0000201,ACC_NORM_1115,ACC_NORM_0991,1672.87,2026-07-06T23:42:08,,
TXN-0000202,ACC_NORM_2196,ACC_NORM_1766,23283.05,2026-07-06T23:50:47,,
TXN-0000203,ACC_NORM_2523,ACC_NORM_2584,7869.71,2026-07-06T23:59:25,,
TXN-0000204,ACC_NORM_1306,ACC_NORM_2276,9741.98,2026-07-07T00:08:03,,
TXN-0000205,ACC_NORM_0574,ACC_NORM_2828,24039.71,2026-07-07T00:16:42,,
TXN-0000206,ACC_NORM_2067,ACC_NORM_0183,13687.03,2026-07-07T00:25:20,,
TXN-0000207,ACC_MULE_0254,ACC_MULE_0574,211666.66,2026-07-07T00:33:59,2026-07-07T01:07:29,ATM_PNB_174
TXN-0000208,ACC_NORM_0625,ACC_NORM_1996,2299.03,2026-07-07T00:42:37,,
TXN-0000209,ACC_NORM_0164,ACC_NORM_1467,13297.89,2026-07-07T00:51:15,,
TXN-0000210,ACC_MULE_0172,ACC_MULE_0309,105521.47,2026-07-07T00:59:54,,
TXN-0000211,ACC_MULE_0309,ACC_MULE_0044,188328.31,2026-07-07T01:08:32,2026-07-07T01:58:11,ATM_HDFC_001
TXN-0000212,ACC_NORM_1890,ACC_NORM_2294,11106.22,2026-07-07T01:17:11,,
TXN-0000213,ACC_VIC_0067,ACC_MULE_0395,136948.41,2026-07-07T01:25:49,,
TXN-0000214,ACC_NORM_1284,ACC_NORM_0384,16866.59,2026-07-07T01:34:27,,
TXN-0000215,ACC_NORM_1134,ACC_NORM_1322,19827.7,2026-07-07T01:43:06,,
TXN-0000216,ACC_NORM_0373,ACC_NORM_0680,5175.91,2026-07-07T01:51:44,,
TXN-0000217,ACC_VIC_0249,ACC_MULE_0565,104116.55,2026-07-07T02:00:23,,
TXN-0000218,ACC_NORM_2584,ACC_NORM_2275,6758.49,2026-07-07T02:09:01,,
TXN-0000219,ACC_NORM_2996,ACC_NORM_1933,7318.89,2026-07-07T02:17:39,,
TXN-0000220,ACC_VIC_0027,ACC_MULE_0485,161263.76,2026-07-07T02:26:18,,
TXN-0000221,ACC_NORM_2567,ACC_NORM_2802,3063.96,2026-07-07T02:34:56,,
TXN-0000222,ACC_NORM_1858,ACC_NORM_0330,2365.73,2026-07-07T02:43:35,,
TXN-0000223,ACC_NORM_0821,ACC_NORM_2713,3614.78,2026-07-07T02:52:13,,
TXN-0000224,ACC_NORM_2762,ACC_NORM_2213,2385.99,2026-07-07T03:00:51,,
TXN-0000225,ACC_NORM_1709,ACC_NORM_0366,17947.14,2026-07-07T03:09:30,,
TXN-0000226,ACC_NORM_1141,ACC_NORM_2643,23775.24,2026-07-07T03:18:08,,
TXN-0000227,ACC_MULE_0221,ACC_MULE_0506,214601.32,2026-07-07T03:26:47,2026-07-07T03:53:33,ATM_SBI_041
TXN-0000228,ACC_VIC_1063,ACC_MULE_0074,101878.43,2026-07-07T03:35:25,,
TXN-0000229,ACC_MULE_0535,ACC_MULE_0168,80919.41,2026-07-07T03:44:03,2026-07-07T04:11:19,ATM_ICICI_096
TXN-0000230,ACC_VIC_0225,ACC_MULE_0598,247469.53,2026-07-07T03:52:42,2026-07-07T04:19:53,ATM_ICICI_019
TXN-0000231,ACC_VIC_0516,ACC_MULE_0052,96438.42,2026-07-07T04:01:20,2026-07-07T04:16:20,ATM_PNB_052
TXN-0000232,ACC_NORM_1957,ACC_NORM_1656,24767.55,2026-07-07T04:09:59,,
TXN-0000233,ACC_VIC_0623,ACC_MULE_0229,148364.18,2026-07-07T04:18:37,,
TXN-0000234,ACC_VIC_0353,ACC_MULE_0101,147062.69,2026-07-07T04:27:15,2026-07-07T05:07:45,ATM_ICICI_142
TXN-0000235,ACC_VIC_1404,ACC_MULE_0444,118739.81,2026-07-07T04:35:54,2026-07-07T05:04:25,ATM_PNB_021
TXN-0000236,ACC_NORM_0459,ACC_NORM_1446,9071.1,2026-07-07T04:44:32,,
TXN-0000237,ACC_NORM_1476,ACC_NORM_2185,1304.68,2026-07-07T04:53:11,,
TXN-0000238,ACC_NORM_0547,ACC_NORM_0266,15209.93,2026-07-07T05:01:49,,
TXN-0000239,ACC_VIC_0516,ACC_MULE_0460,203155.11,2026-07-07T05:10:27,,
TXN-0000240,ACC_NORM_1445,ACC_NORM_2286,1896.0,2026-07-07T05:19:06,,
TXN-0000241,ACC_NORM_0232,ACC_NORM_0523,19655.02,2026-07-07T05:27:44,,
TXN-0000242,ACC_NORM_1913,ACC_NORM_2608,8370.91,2026-07-07T05:36:23,,
TXN-0000243,ACC_NORM_2314,ACC_NORM_0512,10385.36,2026-07-07T05:45:01,,
TXN-0000244,ACC_NORM_2724,ACC_NORM_2625,24328.72,2026-07-07T05:53:39,,
TXN-0000245,ACC_MULE_0238,ACC_MULE_0011,54904.72,2026-07-07T06:02:18,2026-07-07T06:30:30,ATM_ICICI_004
TXN-0000246,ACC_NORM_0335,ACC_NORM_1407,11435.59,2026-07-07T06:10:56,,
